ID;LOCATION;NAME;AREA
166;"63.837576;20.323356";Duvslagsparken;Umeå
167;"63.837902;20.340314";Beachfotbollsplanen;Umeå
168;"63.837925;20.18055";Mister Mailbox;Umeå
169;"63.83799;20.122961";Arboretum Norr;Umeå
170;"63.838457;20.168453";Löftets Lekplats;Umeå
171;"63.838824;20.342517";Konstsnöspåret ;Umeå
172;"63.838864;20.320725";Morkullevägens Lekplats;Umeå
173;"63.839163;20.158495";A New Perspective ;Umeå
174;"63.839497;20.159378";Kastenhaus 1166;Umeå
175;"63.839569;20.115036";Buddha;Umeå
176;"63.839595;20.150366";Lekplatsen Viggens Väg;Umeå
177;"63.839766;20.315051";Umeå Softballplan;Umeå
178;"63.839811;20.242673";Monument of Letters;Umeå
179;"63.84;20.282263";Adventkyrkan;Umeå
180;"63.840583;20.311412";Bräntberget Outdoor Gym;Umeå
181;"63.840765;20.326436";Water Tower;Umeå
182;"63.840832;20.319329";Mariehemsbiblioteket;Umeå
183;"63.840916;20.314329";MSK Arena;Umeå
184;"63.840951;20.112491";Tvätthällsstugan;Umeå
185;"63.841258;20.313191";Mariehem SK;Umeå
186;"63.84126;20.338635";Bagarstugan;Umeå
187;"63.841339;20.209306";RödbergetsTopp;Umeå
188;"63.841904;20.333002";Storspoven;Umeå
189;"63.842294;20.280821";Brånetparkens lekplats;Umeå
190;"63.842606;20.153153";Humlevägens Lekplats;Umeå
191;"63.843151;20.344367";Nydala Äventyrsgolf;Umeå
192;"63.843491;20.343492";Björnens Lekplats;Umeå
193;"63.844338;20.105066";Kåddisholmen;Umeå
194;"63.84522;20.308758";Stora Lekis;Umeå
195;"63.845597;20.329138";Mariebergparkens Lekplats;Umeå
196;"63.845656;20.295643";Tre Flickor, 1988;Umeå
197;"63.845746;20.283783";Churchyard Pond;Umeå
198;"63.845951;20.332601";Slottet På Björnvägen;Umeå
199;"63.845992;20.307007";Fotbollsplan ;Umeå
200;"63.846874;20.295642";Betelskyrkan;Umeå
201;"63.848884;20.32294";Motionshuset;Umeå
202;"63.850755;20.31549";Sverkers Dustbin Monument;Umeå
203;"63.850855;20.314086";Crying Man;Umeå
204;"63.851207;20.298955";No Rain on Me ;Umeå
205;"63.852947;20.318099";Lekplats Mesosten;Umeå
206;"63.854244;20.335651";Kärnvägens lekplats;Umeå
207;"63.85492;20.336773";Tennisplan;Umeå
208;"63.856552;20.332314";Arken ;Umeå
209;"63.857006;20.312213";Ersbodakyrkan;Umeå
210;"63.857312;20.312707";Vinter Sya;Umeå
211;"63.857566;20.335739";Ersboda Folkets Hus;Umeå
212;"63.857677;20.307303";Västra Ersboda Sportområde;Umeå
213;"63.858275;20.334412";Sølje, 1988;Umeå
214;"63.858401;20.322478";Björklöv, Ersboda ;Umeå
215;"63.858948;20.327004";Äventyrslekparken Ersboda;Umeå
216;"63.860076;20.312027";Trattgränds Lekplats;Umeå
217;"63.860419;20.304275";Måttgränds Lekplats;Umeå
218;"63.861986;20.340935";Filgränds Lekplats;Umeå
219;"63.863282;20.333102";Lekplatsen Bortom Ersbodavägens Ände;Umeå
220;"63.864145;20.339275";Lekplatsen med Hällristningsstenen;Umeå
221;"63.864998;20.311496";Gamla Spårcentralen Ersbodaspåren;Umeå
222;"63.880055;20.313273";Ersmarks Kvarnar;Umeå
223;"63.882659;20.317486";Ersmarkskyrkans Klocktorn;Umeå
224;"63.887305;20.320009";Rosa Villan;Umeå
225;"63.889442;20.320076";Torsdagsparken;Umeå
226;"63.837827;20.468049";Täfteå Lekplats;Täfteå
227;"63.839984;20.479646";Täfteå Kyrka;Täfteå
228;"63.844822;20.475867";Täftehallen;Täfteå
229;"63.852011;20.474149";Täfteborg;Täfteå
230;"63.809112;20.175311";Kattens lekpark;Umeå
