ID,LOCATION,NAME,IMAGE
9669797,"59.861221,17.665614",Elephant,https://lh5.ggpht.com/T-F5JUjG7_2xj42b5XWgGBdcnfri8MZmCnubBps3LvEIx6ose6GX6xSloYHWQqssPZVbmw6rlvWf_bBCXSJQOA
3689617,"59.79058,17.658485",Sunnerstaåsen,https://lh6.ggpht.com/z3oG9F9dC6gTeXLluSPNW7APLOO34eD5TPKvlLrygBIq93IpiUdiznY-YO9FfAmlmJ8LVz3_uF6BE847O9o1
44220793,"59.632888,17.073135",Monument över industristaden Enköping,https://lh3.googleusercontent.com/ErH0hxuKnwb8-NJovTcU4DTUMZtRP2J6suEJcsx7j3nqpic9ijRo2TXt6RjSpX2UbCR2y3B92MA_jqnloI4
9669791,"59.859201,17.666024",The Moose,https://lh3.ggpht.com/BIZk1O3ZUA0zFONVcOIjy86VlM9SZN6d6xf2ILcldKc5rH4p_d45Rs03tQ5mzN8XZR2mhOhE9ZpvkcIyuHMS
352043,"59.540575,17.522074",Kalmar Kyrka,https://lh3.ggpht.com/ixW5jSg2DTjd9s_Rpk_Q7LGjv8aQbqtTgH-F0_BJePQrO-9R1gXS91PLbPNEX_gdKkJDg_hUVpAlVAhPNl8
3689843,"59.83989,17.633044",Bat Art,https://lh6.ggpht.com/wdcchUBhz7kAIg57x1_qSY9aH_f-73bSv0smBl48B_-NoO9qM5qwkKA-mtTMrJ7FNdXTmNLCCcBQWQaZWEcd
49073261,"60.182237,17.184089",Missionskyrkan,https://lh3.ggpht.com/cO7w_wqIRCGuBlaimYC98AbmmnV60qeePKroBWBck9e0KF9-hxGpCndyGzIYADv0Xy5XHVYIxqMdrYSB8wnW
49080910,"59.809968,17.630795",The Art Of Signing,https://lh3.googleusercontent.com/Zjzah7uOk_TRRq0Fc58MMuTTZSyxiKsvSfdS2SVs-oAAS_DmYoPg3IFYGzZl-KKnPs5Ngk_yzKcKrqh5Pes
3689720,"59.830177,17.65085",Kronparken,https://lh5.ggpht.com/12Ru5_Ru03lK3tUwoEqBuRR9W2UCcsbWcquTiN-GB2O_X6ZWxVIDWmtmCF46KpPRDeGqvaMKM8CrQAPMXh6t
3689962,"59.849651,17.658514",Four Pillar Structure,https://lh4.ggpht.com/sy2CG0bATXD1jWo13xPq6raEy1fMFDRHMPgVbqfJyj1Lfl3LRdGXQFcRa1kelPajB4mUXeTXrakq6ARhmqc
3689840,"59.839198,17.608019",Norwell Form Function Träningspark,https://lh3.ggpht.com/WmHVpYG8yCoIcndqYVogQkx8eyDrriS4sQnwWOqECdzIJ87QdPkw5yVk_q4Wr_7cmxngxwitGMBUJQO-9e_w
9669789,"59.860607,17.66713",Koloniträdgården Flora,https://lh4.ggpht.com/TxhvbH9s86U2mLniQCJj_eNAFRPLSxdAgEfB-JR1b-a4JP0GGrAEzOI7SmT0U_7eS9azT99nqW6cw6KvKBE
3689726,"59.828435,17.683802",En Älg Pang,https://lh3.ggpht.com/62wyeNTFn8YcjZtjIcec91mX82pC81YKP0KxBqMHRrnYsd926yQtEGNcOJ6NA0w39fId77LcoXtAAIn6AV0
49074235,"60.564267,17.439646",Minnessten Carl XIII:s Bro,https://lh6.ggpht.com/PNWPUhZhsBJcTP-ez9Ab8bBcl26kKKtCdQtXFnCBw7xA-PW4tVnogJ-a9-Hte7hLttTy4cNYtd0a3oBJIOovRQ
44220783,"59.632083,17.074303",Enköpings Kloster,https://lh3.ggpht.com/ZqUDFJH8nzoqMZe0p4Ur3i88nUFm6y4LGVE4KrctGQJDaAdx8dENPsHns-Qn486Bca4MWGWX-wxyw2MV6VA
